# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
татуированной = тату+ированной  # 16, модель татуир+ованной, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,fem,dat
братану = брат+ану  # 14, модель братан+у, братан:N:anim,mas,sg,dat
воспринята = воспринят+а  # 14, модель воспр+инята, воспринять:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
долбишь = долб+ишь  # 14, модель д+олбишь, долбить:V:imperf,trans,act,pres,2p,sg
завралась = заврал+ась  # 14, модель завр+алась, завраться:V:perf,intrans,act,past,fem,sg
пересеки = пересек+и  # 14, модель перес+еки, пересечь:V:perf,trans,act,imp,2p,sg
татуированные = тату+ированные  # 14, модель татуир+ованные, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,pl,nom
запусков = з+апусков  # 13, модель запуск+ов, запуск:N:inanim,mas,pl,gen
памятуя = п+амятуя  # 13, модель памят+уя, памятовать:ADV_PARTICIPLE:imperf,trans,act,pres
татуированного = тату+ированного  # 13, модель татуир+ованного, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,mas,gen
капор = к+апор  # 12, модель кап+ор, капор:N:inanim,mas,sg,acc
подои = подо+и  # 12, модель под+ои, подоить:V:perf,trans,act,imp,2p,sg
поселись = посел+ись  # 12, модель поселись, поселиться:V:perf,intrans,act,imp,2p,sg
татуированная = тату+ированная  # 12, модель татуир+ованная, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,fem,nom
валах = вал+ах  # 11, модель в+алах, вал:N:inanim,mas,pl,prp
динамите = динам+ите  # 11, модель дин+амите, динамит:N:inanim,mas,sg,prp
колоколами = колокол+ами  # 11, модель колоколами, колокол:N:inanim,mas,pl,ins
пощекочет = пощек+очет  # 11, модель пощекоч+ет, пощекотать:V:perf,intrans,act,fut,3p,sg
предпринята = предпринят+а  # 11, модель предпр+инята, предпринять:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
смея = см+ея  # 11, модель сме+я, сметь:ADV_PARTICIPLE:imperf,intrans,act,pres
страховщика = страх+овщика  # 11, модель страховщик+а, страховщик:N:anim,mas,sg,acc
воплощу = воплощ+у  # 10, модель вопл+ощу, воплотить:V:perf,trans,act,fut,1p,sg
орлеаном = орле+аном  # 10, модель орл+еаном, орлеан:N:inanim,mas,sg,ins
осыпаются = осып+аются  # 10, модель ос+ыпаются, осыпаться:V:imperf,intrans,act,pres,3p,pl
стелим = стел+им  # 10, модель ст+елим, стелить:PARTICIPLE_SHORT:imperf,trans,anim,inanim,pres,pass,sg,mas
татуированных = тату+ированных  # 10, модель татуир+ованных, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,pl,gen
толстякам = толстяк+ам  # 10, модель толст+якам, толстяк:N:anim,mas,pl,dat
ультраправых = ультрапр+авых  # 10, модель ультр+аправых, ультраправый:A:pl,acc,anim
филистимляне = филист+имляне  # 10, модель филистимл+яне, филистимлянин:N:anim,mas,pl,nom
хреновыми = хрен+овыми  # 10, модель хр+еновыми, хреновый:A:qual,pl,ins,anim,inanim
дебетовая = дебет+овая  # 9, модель дебетовая, дебетовый:A:qual,fem,sg,nom,anim,inanim
засветишь = засв+етишь  # 9, модель засвет+ишь, засветить:V:perf,trans,act,fut,2p,sg
знамениями = зн+амениями  # 9, модель знам+ениями, знамение:N:inanim,neu,pl,ins
клеи = кле+и  # 9, модель кл+еи, клей:N:inanim,mas,pl,acc
слабины = слабин+ы  # 9, модель слаб+ины, слабина:N:sing_tant,inanim,fem,sg,gen
слойка = сл+ойка  # 9, модель слойк+а, слойка:N:inanim,fem,sg,nom
увальни = +увальни  # 9, модель увальни, увалень:N:anim,mas,pl,nom
христианах = христи+анах  # 9, модель хр+истианах, христианин:N:anim,mas,pl,prp
движку = движк+у  # 8, модель дв+ижку, движок:N:inanim,mas,sg,dat
заколотим = закол+отим  # 8, модель заколот+им, заколотить:V:perf,trans,act,fut,1p,pl
заснята = заснят+а  # 8, модель засн+ята, заснять:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
искренны = +искренны  # 8, модель искр+енны, искренний:ADJ_SHORT:qual,pl,anim,inanim
согреваешь = согрев+аешь  # 8, модель согр+еваешь, согревать:V:imperf,trans,act,pres,2p,sg
спекла = спекл+а  # 8, модель сп+екла, спечь:V:perf,trans,act,past,fem,sg
убыло = +убыло  # 8, модель уб+ыло, убыть:V:perf,intrans,act,past,neu,sg
дрыхни = др+ыхни  # 7, модель дрыхн+и, дрыхнуть:V:imperf,intrans,act,imp,2p,sg
изрежу = изр+ежу  # 7, модель изреж+у, изрезать:V:perf,trans,act,fut,1p,sg
курени = курен+и  # 7, модель кур+ени, курень:N:inanim,mas,pl,acc
кутим = к+утим  # 7, модель кут+им, кутить:V:imperf,intrans,act,pres,1p,pl
слоек = сл+оек  # 7, модель сло+ек, слойка:N:inanim,fem,pl,gen
татуированным = тату+ированным  # 7, модель татуир+ованным, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,pl,dat
усаживай = ус+аживай  # 7, модель усажив+ай, усаживать:V:imperf,trans,act,imp,2p,sg
братку = братк+у  # 6, модель бр+атку, браток:N:anim,mas,sg,dat
замеряет = замер+яет  # 6, модель зам+еряет, замерять:V:imperf,trans,act,pres,3p,sg
засветим = засв+етим  # 6, модель засвет+им, засветить:V:perf,trans,act,fut,1p,pl
знамению = зн+амению  # 6, модель знам+ению, знамение:N:inanim,neu,sg,dat
